scenario,label,method,reps,successes,failures,warning_runs,convergence_failures,log_ratio_rmse,log_ratio_rmse_mcse,log_ratio_rmse_n,lift_mae,lift_mae_mcse,lift_mae_n,lift_bias,lift_bias_mcse,lift_bias_n,rank_spearman,rank_spearman_mcse,rank_spearman_n,invalid_train_fraction,invalid_train_fraction_mcse,invalid_train_fraction_n,invalid_grid_fraction,invalid_grid_fraction_mcse,invalid_grid_fraction_n,s_clipped_grid_fraction,s_clipped_grid_fraction_mcse,s_clipped_grid_fraction_n,converters,converters_mcse,converters_n,conversion,conversion_mcse,conversion_n,moment_norm,moment_norm_mcse,moment_norm_n,jac_condition,jac_condition_mcse,jac_condition_n,jac_min_singular,jac_min_singular_mcse,jac_min_singular_n,poisson_iterations,poisson_iterations_mcse,poisson_iterations_n,poisson_gradient_max,poisson_gradient_max_mcse,poisson_gradient_max_n,fit_seconds,fit_seconds_mcse,fit_seconds_n,theta0,theta0_mcse,theta0_n,theta1,theta1_mcse,theta1_n,kappa,kappa_mcse,kappa_n,se0,se0_mcse,se0_n,se1,se1_mcse,se1_n,se_kappa,se_kappa_mcse,se_kappa_n
linear_standard,"Log-linear, alocação padrão",DML-linear,2,2,0,0,0,0.13367897812794982,0.06874653256064933,2,0.11964729466513306,0.06667273886759621,2,0.015675194604117766,0.01292045814315669,2,1.0,0.0,2,,,0,,,0,,,0,134.0,10.999999999999998,2,0.04466666666666667,0.003666666666666665,2,1.17975707198246e-18,3.1252641189443106e-19,2,4.292431054009761,0.6506120831164899,2,0.00498362305773433,0.0013259304480869886,2,,,0,,,0,0.2658809500000002,0.002750249999999954,2,-0.3226600667615601,0.08292397108960517,2,-0.3048217526235226,0.19192244367455355,2,,,0,0.21222033472495727,0.025567544280980282,2,0.2122203347249573,0.025567544280980264,2,,,0
linear_standard,"Log-linear, alocação padrão",DML-quadratic,2,2,0,0,0,0.1636034532683759,0.10167094899782264,2,0.12168963059329622,0.07362373542728734,2,-0.08745022406088576,0.10786314195969782,2,1.0,0.0,2,,,0,,,0,,,0,134.0,10.999999999999998,2,0.04466666666666667,0.003666666666666665,2,3.406102648701843e-16,3.3936002190198264e-16,2,7.961459671150676,0.7131505429368801,2,0.00307871851988831,0.0001826262903042836,2,,,0,,,0,0.3853678999999999,0.0005321999999998716,2,-0.3296393977059519,0.07629590533089764,2,-0.21234264543184428,0.08788669479125621,2,-0.24763288790724808,0.2876637219291298,2,0.21109378484479446,0.024606105558877416,2,0.22435584727068386,0.021861285590188753,2,0.33545408326993637,0.027065314881262733,2
linear_standard,"Log-linear, alocação padrão",Log-mean-linear,2,2,0,0,0,0.1078159924848768,0.010502972087653148,2,0.07690094995063185,0.006929076032796105,2,0.003843399762980045,0.005984783397132101,2,1.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0,134.0,10.999999999999998,2,0.04466666666666667,0.003666666666666665,2,,,0,,,0,,,0,12.0,1.0,2,3.69510976086738e-10,2.1616210642630414e-10,2,0.0017603499999999661,5.6850000000108196e-05,2,-0.3340434843087079,0.11896866686774848,2,-0.204669494853773,0.12041449263307902,2,,,0,,,0,,,0,,,0
linear_standard,"Log-linear, alocação padrão",Log-mean-quadratic,2,2,0,0,0,0.1895697715238475,0.08959034907139721,2,0.14404683421893472,0.07142252960291161,2,-0.1062959397740241,0.10917342404782224,2,1.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0,134.0,10.999999999999998,2,0.04466666666666667,0.003666666666666665,2,,,0,,,0,,,0,17.0,2.0,2,7.871276800014195e-09,7.198685780368761e-09,2,0.002012299999999967,0.00016300000000002424,2,-0.34814699630842116,0.106511784376619,2,-0.1522195423794352,0.07151141053978131,2,-0.2979267776735091,0.28103174804451597,2,,,0,,,0,,,0
linear_standard,"Log-linear, alocação padrão",S-learner,2,2,0,0,0,0.6753447774761272,0.22494757452612776,2,0.48363804710065394,0.0526469236342664,2,-0.12062262137279631,0.3379640881045668,2,0.559880271727204,0.05260157105795454,2,,,0,0.0,0.0,2,0.0,0.0,2,134.0,10.999999999999998,2,0.04466666666666667,0.003666666666666665,2,,,0,,,0,,,0,,,0,,,0,0.043677949999999965,0.00013704999999997192,2,,,0,,,0,,,0,,,0,,,0,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",DML-linear,2,2,0,0,0,0.3849161199069595,0.004820305255497537,2,0.4146714146654764,0.0005412514492940668,2,-0.4146714146654764,0.0005412514492940668,2,1.0,0.0,2,,,0,,,0,,,0,201.0,5.999999999999999,2,0.067,0.0020000000000000018,2,9.440722968555093e-19,7.557964073010385e-19,2,3.9555233478228824,0.19797824818089313,2,0.010084502830742404,0.0012209864029210033,2,,,0,,,0,0.2641817500000001,0.006082450000000072,2,-0.34487721855971065,0.08537673329539376,2,-0.2338109583435228,0.1160679616247314,2,,,0,0.14476150373311542,0.007872328317221164,2,0.14476150373311544,0.00787232831722115,2,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",DML-quadratic,2,2,0,0,0,0.1364373981119545,0.05127851751156825,2,0.15383271045859848,0.050163872513677425,2,-0.02673743293235792,0.11037520474169255,2,1.0,0.0,2,,,0,,,0,,,0,201.0,5.999999999999999,2,0.067,0.0020000000000000018,2,2.537853365082448e-17,1.987261229900305e-17,2,6.482903789400213,0.43839702485330395,2,0.0038892486540009446,3.7817644639054255e-05,2,,,0,,,0,0.40186920000000015,0.009979200000000077,2,-0.3086274730301676,0.08612708318476302,2,-0.2518909607575921,0.1425824754315024,2,0.7388003975873609,0.18258721583536414,2,0.15028613518053296,0.0075539632605981085,2,0.1479592939274203,0.006557363257486529,2,0.25077310332960073,0.012964965662774606,2
curved_randomized,"Curvo, dose aleatorizada uniforme",Log-mean-linear,2,2,0,0,0,0.4021602701470107,0.0013129200613349323,2,0.3874091043314334,0.012265777205600598,2,-0.3874091043314334,0.012265777205600598,2,1.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0,201.0,5.999999999999999,2,0.067,0.0020000000000000018,2,,,0,,,0,,,0,13.5,0.5,2,1.5237817032331957e-09,1.131757696087865e-09,2,0.0017641999999999936,4.2799999999898475e-05,2,-0.4442904182329249,0.14801952470950006,2,-0.30458448268062854,0.11865097565363035,2,,,0,,,0,,,0,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",Log-mean-quadratic,2,2,0,0,0,0.16635122420197854,0.059210470600001286,2,0.1927854526327939,0.03660462520279379,2,-0.04829032625158976,0.1686099494806302,2,1.0,0.0,2,0.0,0.0,2,0.0,0.0,2,,,0,201.0,5.999999999999999,2,0.067,0.0020000000000000018,2,,,0,,,0,,,0,16.0,2.0,2,4.865915071973944e-09,2.638260567002411e-09,2,0.001957449999999916,0.0001169499999997825,2,-0.3710098997224649,0.10401370726406235,2,-0.2635754416004834,0.12181081829680694,2,0.6698651919819224,0.2648966732525429,2,,,0,,,0,,,0
curved_randomized,"Curvo, dose aleatorizada uniforme",S-learner,2,2,0,0,0,0.4038244106745782,0.029797584642516,2,0.5403926996944398,0.10791357328817898,2,0.2253647016074995,0.1675250443065526,2,-0.0995656773771556,0.6182148475317101,2,,,0,0.0,0.0,2,0.0,0.0,2,201.0,5.999999999999999,2,0.067,0.0020000000000000018,2,,,0,,,0,,,0,,,0,,,0,0.046298199999999845,0.0018998999999997324,2,,,0,,,0,,,0,,,0,,,0,,,0
